,Year,Fuel Name,Type,Consumption of fuel (PJ)
116,2017,Bagasse,Renewable,110.3
117,2017,Refinery input,Fossil Fuel,1073.1
118,2017,Natural gas,Fossil Fuel,1481.1
119,2017,Solar hotwater,Renewable,15.8
120,2018,Black coal,Fossil Fuel,1389.0
121,2018,Brown coal,Fossil Fuel,466.8
122,2018,Liquid/gas biofuels,Renewable,23.3
123,2018,"Wood, woodwaste",Renewable,94.2
124,2018,Bagasse,Renewable,100.2
125,2018,Refinery input,Fossil Fuel,1133.6
126,2018,Natural gas,Fossil Fuel,1538.6
127,2018,Solar hotwater,Renewable,16.7
128,2019,Black coal,Fossil Fuel,1363.0
129,2019,Brown coal,Fossil Fuel,443.3
130,2019,Liquid/gas biofuels,Renewable,23.7
131,2019,"Wood, woodwaste",Renewable,92.8
132,2019,Bagasse,Renewable,91.3
133,2019,Refinery input,Fossil Fuel,1121.2
134,2019,Natural gas,Fossil Fuel,1566.6
135,2019,Solar hotwater,Renewable,17.6
136,2020,Black coal,Fossil Fuel,1294.1
137,2020,Brown coal,Fossil Fuel,422.7
138,2020,Liquid/gas biofuels,Renewable,23.3
139,2020,"Wood, woodwaste",Renewable,89.5
140,2020,Bagasse,Renewable,83.8
141,2020,Refinery input,Fossil Fuel,1010.2
142,2020,Natural gas,Fossil Fuel,1628.8
143,2020,Solar hotwater,Renewable,18.5
144,2021,Black coal,Fossil Fuel,1243.4
145,2021,Brown coal,Fossil Fuel,427.1
146,2021,Liquid/gas biofuels,Renewable,24.1
147,2021,"Wood, woodwaste",Renewable,87.8
148,2021,Bagasse,Renewable,88.0
149,2021,Refinery input,Fossil Fuel,848.1
150,2021,Natural gas,Fossil Fuel,1568.2
151,2021,Solar hotwater,Renewable,19.7
